Protein,community_DC,community_CC,community_BC,community_EC,community_PageRank
YKR098C,0.7211779448621554,1.1161165625929228,0.0050189420390180485,0.14882692041450346,0.016333774473614275
YLL051C,0.7287814129919392,1.1753158078346049,0.004159966694076405,0.14299849442967336,0.015886855400632352
YLL066C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLL067C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR020C,0.6505847953216374,1.0146956125839828,0.0042963146422784594,0.10818534356405395,0.017074686017577157
YLR036C,0.439922480620155,0.9552962553255766,0.0016337239918687767,0.09179865861303643,0.011821971702128047
YLR121C,0.3654970760233918,0.7902303414979923,0.00020798693635885648,0.05680251336249208,0.0657293034037223
YLR139C,0.6238596491228069,0.9373870281765018,0.002285058861448065,0.19665622208271677,0.03220913386161852
YLR151C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR188W,0.5575438596491228,1.0059654344193818,0.0021851732359338804,0.08469303085945257,0.020492178487730994
YLR286C,0.5851393188854489,1.054437615996078,0.001887961896969785,0.18817146900566106,0.027458193647497933
YLR363W-A,0.6109022556390977,1.1070351310850595,0.0025965939432820956,0.21689822664818176,0.03224616155471573
YLR390W,0.7664473684210527,1.216842723004695,0.005782469269822489,0.10627636449320738,0.013227889407136803
YLR390W-A,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR437C,0.5737874097007224,1.007428944702181,0.0014089725572177876,0.2504704782453161,0.03505033110089488
YLR446W,0.5724310776942355,0.9460558055019955,0.0023427792725995568,0.07397287152262513,0.016793961055391094
YLR459W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR461W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR462W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR464W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YLR466W,0.6973684210526315,1.0884776989495684,0.053494038502090245,0.19046182215161,0.04883678037341825
YML039W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YML040W,0.6517709367759019,1.0409713121831794,0.007140033250351344,0.13687979723809027,0.017966424043328204
YML053C,0.3698830409356725,0.918316848596662,0.00029074724457485754,0.15648916944851318,0.06444980461074384
YML076C,0.4557589626239511,0.8983781963077628,0.0010118598555412138,0.11883679904354852,0.024263146744197172
YML081W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YML104C,0.35526315789473684,0.8793320714373345,0.0005717237082972983,0.09973920418401835,0.025387895768879606
YML107C,0.46453089244851253,0.9463656606504398,0.0010176837705473624,0.1397313989074793,0.020649798482749795
YML108W,0.5438596491228069,1.0839906614080421,0.0005217228805039112,0.39431827251457097,0.13323465116653713
YML133C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR002W,0.7327485380116959,1.1283183318289252,0.004598321753985949,0.11127761196437269,0.012783937825977506
YMR006C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR011W,0.8070175438596491,1.27314718000226,0.0053913413799559756,0.1474389418016574,0.015404057871750454
YMR038C,0.6047634910059959,0.9856706814057087,0.002908309725613928,0.08494790706204158,0.008930721549810046
YMR040W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR041C,0.7964912280701754,1.207158521303258,0.005502492657316043,0.12005193837241726,0.01578620441619399
YMR045C,0.6517709367759019,1.1471785458097679,0.04315236997023525,0.19906065637882694,0.017743622126403957
YMR050C,0.6329030122476,1.0730925243043914,0.0029673191719768875,0.1730655230240526,0.012949646133125403
YMR073C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR090W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR134W,0.49614035087719294,1.0694556306019285,0.0015826848438364217,0.0900357807160095,0.01338397877010367
YMR136W,0.583859649122807,0.9299598148669356,0.002285058861448065,0.13258286041759132,0.021194741394443065
YMR148W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR164C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR166C,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR195W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR206W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YMR310C,0.7431077694235588,1.2012328840393667,0.0028375271597502437,0.24502839661403641,0.04223821983217131
YMR312W,0.7664473684210527,1.2025697524426966,0.005782469269822489,0.10421864069895963,0.013371551458571145
YMR325W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YNL003C,0.4138755980861244,0.8858226647700331,0.0007159175360117056,0.2698993661978617,0.02690834558074258
YNL012W,0.6902834008097166,1.02452934662237,0.005106918324123472,0.09273746298221408,0.015397139975514259
YNL036W,0.9667919799498746,1.4397426929371175,0.013820922276894437,0.2227025917820124,0.030804822573957454
YNL054W,0.6282894736842105,1.0030904183535763,0.0026925643969388092,0.09584971167410933,0.030656643985486294
YNL122C,0.5707017543859649,0.9595907261489757,0.002497803985190571,0.1676034872817674,0.01986409518869485
YNL146W,0.5868421052631579,1.0116805267807227,0.0026773751717001576,0.09499304318732167,0.011338611653890942
YNL148C,0.6945773524720893,1.1245413370026374,0.0029941255406543705,0.11120395630017398,0.018258013627083187
YNL158W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YNL167C,0.5263157894736842,1.0486045676851976,0.25042296617452336,0.3858625094712333,0.12706471353681714
YNL190W,0.594298245614035,1.0270659311022317,0.002767201956400933,0.15698629963443822,0.022574478465836247
YNL234W,0.7135964912280701,1.0835381736626783,0.004687198216103567,0.10757996184586331,0.014720479728916675
YNL241C,0.35526315789473684,0.8215922803642102,0.0005717237082972983,0.05562892569082768,0.02938507449649909
YNL269W,0.9605263157894737,1.4536050040713597,0.01449419432718284,0.17953811169040634,0.020472697415429703
YNL275W,0.9692982456140351,1.4558076472431658,0.01449419432718284,0.18641113522386615,0.02392886233086628
YNL294C,0.5614035087719298,1.0345342250316827,0.0008143859600854421,0.19317158788555083,0.12331583243966837
YNL305C,0.5964912280701754,1.0892969784458602,0.002404925673525176,0.18946115564407934,0.01654265349567521
YNL322C,0.6679907315458458,1.216053902199413,0.004174965103923487,0.18200078057020933,0.015392045215490324
YNL327W,0.6868586560741476,1.233903527525674,0.004174965103923487,0.20222977403774745,0.02209147705055891
YNL328C,0.6300799467021985,1.0283157556297304,0.002908309725613928,0.15010355444373893,0.011641902884548827
YNL339C,0.354881769641495,0.8133907514610247,0.0005892952335956542,0.060646868318520425,0.024107220024257636
YNR009W,0.41929824561403506,1.0594167969428523,0.00019275642712812666,0.31629001821777136,0.07237523879559062
YNR014W,0.533625730994152,0.976513748138462,0.0013715976343064739,0.19152121128898855,0.03153780279904768
YNR030W,0.46317829457364335,1.0240340924120375,0.0024885431606414335,0.1426629365337721,0.01564961045676281
YNR044W,0.6868586560741476,1.2203946065401174,0.004174965103923487,0.19849560383914916,0.0223552187786865
YNR055C,0.43893387314439947,0.9633410799037515,0.28278218589601767,0.13580826684118666,0.07890515140544976
YNR066C,0.26425438596491224,0.9348846994938326,0.0002457745938866645,0.2526597900859914,0.03449844600526355
YNR067C,0.4331983805668016,0.9675578368999421,0.0010279289159550265,0.16184923159259326,0.02015388252999212
YNR070W,0.46453089244851253,0.8385043747069622,0.0010176837705473624,0.06394486337238224,0.026917533939236897
YNR072W,0.3014354066985646,0.8387123312259429,0.0002781134920809894,0.09098204596201964,0.05396407047295518
YOL007C,0.6679907315458458,1.216053902199413,0.004174965103923487,0.18200078057020933,0.015392045215490324
YOL019W,0.7135964912280701,1.0835381736626783,0.004687198216103567,0.10757996184586331,0.014720479728916675
YOL020W,0.7264752791068579,1.1966010928578237,0.007997010899453285,0.10819780359756909,0.013193278112214218
YOL036W,0.6785512167515562,1.0041628606958288,0.0033690193784905813,0.16741729441636735,0.02452358100899773
YOL043C,0.5964912280701754,1.0892969784458602,0.002404925673525176,0.18946115564407934,0.01654265349567521
YOL119C,0.9667919799498746,1.4397426929371175,0.013820922276894437,0.2227025917820124,0.030804822573957454
YOL136C,0.7268170426065163,1.1855681454688616,0.003368867120388625,0.24577497465239995,0.031645504074773984
YOL153C,0.7211779448621554,1.1819581467513387,0.0050189420390180485,0.16608434779296238,0.016834626992593006
